No	Name	PK		S5GHz	Diam	Ref	Tb	DMi	DTb	Df	D(VSZ)
233	NGC6879	057-081 	18.0 	5.0 	3 	50.89 	7.22 	6.25 	6.74 	6.30
234	K3-40	058+011 	20.0 	4.0 	2 	88.35 	7.16 	6.55 	6.86 	6.49
235	IC4997	058-101 	127.0 	1.6 	1	3506.40 	3.82 	5.04 	4.43 	4.47
236	K3-37	059+021 	17.0 	2.5 	2 	192.25 	8.27 	8.17 	8.22 	7.91
237	K3-39	059+022 	11.0 	1.0 	2 	777.48	11.51	13.06	12.29	12.13
238	A72	059-181 	16.1	127.4 	7 	0.07 	4.49 	2.02 	3.25 	 
239	He2-440	060+011 	43.0 	2.2 	2 	627.94 	5.72 	6.36 	6.04 	3.94
240	K4-39	060-021 	9.0 	2.0 	7 	159.03	11.20	10.85	11.03 	 
241	NGC6853	060-031		1325.0	330.0 	1 	0.86 	0.60 	0.35 	0.48 	0.40
242	He1-5	060-071 	5.2 	36.0 	7 	0.28 	8.85 	4.57 	6.71 	 
243	NGC6886	060-072 	108.0 	7.4 	1 	139.40 	3.19 	3.06 	3.13 	2.99
244	M4-16	061+021 	6.0 	0.4 	7	2650.50	17.22	22.05	19.64 	 
245	DdDm-1	061+411 	6.0 	1.0 	7 	424.08	14.85	15.86	15.35 	 
246	NGC6905	061-091 	52.0 	47.0 	1 	1.66 	3.22 	1.99 	2.60 	2.22
247	NGC6765	062+091 	17.7 	38.0 	7 	0.87 	5.24 	3.03 	4.14 	 
248	M2-48	062-001 	19.0 	3.1 	3 	139.74 	7.62 	7.30 	7.46 	7.13
249	K3-48	063+001 	34.0 	6.0 	2 	66.75 	5.37 	4.78 	5.07 	4.77
250	NGC6720	063+131 	360.0 	70.0 	1 	5.19 	1.34 	0.93 	1.13 	1.00
251	K3-54	063-061 	7.5 	0.8 	7 	828.28	14.02	16.00	15.01	14.83
252	BD+30363	064+051 	600.0 	5.0 	1	1696.30 	1.66 	2.04 	1.85 	1.84
253	M1-64	064+151 	2.4 	17.0 	7 	0.59	13.82 	7.67	10.74 	 
254	NGC6058	064+481 	10.0 	26.0 	1 	1.05 	7.08 	4.17 	5.63 	4.71
255	K3-53	064-021 	69.0 	0.7 	3	9952.90 	5.64 	8.25 	6.95 	 
256	NGC6842	065+001 	126.5 	47.4 	7 	3.98 	2.22 	1.49 	1.85 	 
257	He1-6	065-051 	20.3 	22.4 	7 	2.86 	5.39 	3.51 	4.45 	 
258	K648	065-271 	14.4 	3.6 	7 	78.53 	8.36 	7.56 	7.96 	 
259	PC24	066-051 	18.0 	5.0 	3 	50.89 	7.22 	6.25 	6.74 	 
260	NGC7094	066-281 	7.0 	95.0 	3 	0.05 	6.68 	2.93 	4.80 	3.62
261	K3-52	067-001 	65.0 	0.7 	2	9375.90 	5.78 	8.41 	7.10 	 
262	K4-41	068+011 	15.0 	3.0 	2 	117.80 	8.47 	7.96 	8.21 	7.82
263	He2-453	068+012 	15.0 	22.4 	7 	2.11 	6.12 	3.86 	4.99 	 
264	PC23	068+031 	21.0 	2.1 	2 	336.57 	7.78 	8.13 	7.96 	7.74
265	M1-75	068-001 	26.2 	14.0 	7 	9.45 	5.22 	3.83 	4.53 	 
266	He2-459	068-021 	64.0 	1.3 	2	2676.60 	5.27 	6.76 	6.02 	6.05
267	K3-55	069+001 	90.0 	8.2 	2 	94.60 	3.39 	3.13 	3.26 	3.09
268	K3-49	069+021 	7.0 	0.2 	2	8000.00	18.05	26.94	22.49	26.81
269	NGC6894	069-021 	61.0 	55.0 	3 	1.43 	2.94 	1.78 	2.36 	2.00
270	M3-35	071-021 	140.0 	1.4 	2	5048.60 	3.75 	5.13 	4.44 	4.84
271	K3-57	072+001 	60.0 	6.3 	2 	106.85 	4.20 	3.91 	4.05 	3.85
272	NGC6881	074+021 	120.0 	2.6 	2	1254.70 	3.62 	4.31 	3.96 	3.95
273	He2-468	075-041 	25.0 	0.4 	43 	0.75 	9.45	13.97	11.71 	 
274	A69	076+011 	4.8 	22.0 	7 	0.70 	9.91 	5.60 	7.75 	 
275	K3-77	078+001 	27.4 	7.6 	7 	33.53 	5.66 	4.70 	5.18 	 
276	A50	078+181 	1.0 	27.0 	7 	0.10	18.52 	8.59	13.56 	 
277	A78	081-141 	4.9	107.0 	7 	0.03 	7.61 	3.15 	5.38 	 
278	NGC6884	082+071 	200.0 	6.0 	1 	392.67 	2.55 	2.71 	2.63 	2.57
279	NGC6833	082+111 	22.0 	0.8 	7	2429.60 	8.92	11.34	10.13 	 
280	NGC6826	083+121 	385.0 	25.4 	1 	42.18 	1.53 	1.31 	1.42 	1.32
281	NGC7027	084-031		5200.0 	14.0 	6	1875.20 	0.57 	0.70 	0.64 	0.63
282	A71	085+041 	82.8	158.0 	7 	0.23 	2.18 	1.11 	1.64 	 
283	Hu1-2	086-081 	155.0 	8.2 	1 	162.93 	2.70 	2.63 	2.66 	2.55
284	K3-78	088+041 	15.0 	3.8 	2 	73.42 	8.15 	7.31 	7.73 	7.29
285	NGC7048	088-011 	37.0 	70.0 	3 	0.53 	3.49 	1.92 	2.70 	2.22
286	NGC7026	089+001 	260.0 	11.2 	1 	146.50 	2.07 	1.99 	2.03 	1.94
