ID   	l		b		Name   	PK	HelioVel(km/s) HelioVelUncert(km/s)
330	064.9807	+15.5201	M1-64 	64+15 1 	-25.1 	3.8
331	065.0217	-27.3116	Ps1 	65-27 1	-140.6	16.9
332	065.2583	-05.6907	He1-6 	65- 5 1 	-38.3	15.0
333	065.9142	+00.5972	NGC6842 	65+ 0 1 	-5.0	40.0
334	066.7776	-28.2022	NGC7094 	66-28 1	-101.1	30.8
335	068.3507	-02.7382	He2-459 	68- 2 1 	-72.0	20.0
336	068.6305	+01.1782	He1-4 	68+ 1 2 	-10.5	43.3
337	068.8576	-00.0417	M1-75 	68- 0 1 	-25.3	15.0
338	069.4756	-02.6221	NGC6894 	69- 2 1 	-58.0 	6.0
339	071.6284	-02.3617	M3-35 	71- 2 1	-192.2	18.8
340	072.6557	-17.1518	A74 	72-17 1 	18.0 	4.0
341	074.5522	+02.1140	NGC6881 	74+ 2 1 	-14.4 	2.3
342	077.6995	+14.7784	A61 	77+14 1 	-48.0	30.0
343	078.5283	+18.7239	A50 	78+18 1	-159.0	11.0
344	079.6858	+05.8310	M4-17 	79+ 5 1 	-26.0	40.0
345	081.2962	-14.9131	A78 	81-14 1 	17.0	10.0
346	082.1353	+07.0936	NGC6884 	82+ 7 1 	-35.6 	1.0
347	082.5344	+11.3494	NGC6833 	82+11 1	-108.8 	1.7
348	083.5617	+12.7923	NGC6826 	83+12 1 	-6.2 	0.6
349	084.9299	-03.4964	NGC7027 	84- 3 1 	8.8 	0.6
350	086.5414	-08.8337	Hu1-2 	86- 8 1 	9.9 	4.3
351	088.7803	-01.6799	NGC7048 	88- 1 1 	-50.2 	8.1
352	089.0019	+00.3754	NGC7026 	89+ 0 1 	-40.6 	0.6
353	089.8727	-05.1339	IC5117 	89- 5 1 	-26.1 	1.3
354	093.3785	-02.4540	M1-79 	93- 2 1 	-24.0	40.0
355	093.4129	+05.4924	NGC7008 	93+ 5 2 	-75.7 	2.7
356	093.5306	+01.4737	M1-78 	93+ 1 1 	-88.1 	1.6
357	095.1221	-02.0068	M2-49 	95- 2 1	-134.0	40.0
358	095.2205	+00.7793	K3-62 	95+ 0 1 	-53.0 	4.0
359	096.4680	+29.9544	NGC6543 	96+29 1 	-66.1 	0.4
360	097.5156	+03.1735	A77 	97+ 3 1	-113.4	23.0
361	097.6825	-02.4513	M2-50 	97- 2 1	-136.0	40.0
362	100.0322	-08.7620	Me2-2	100- 8 1	-152.0 	5.0
363	100.6223	-05.4025	IC5217	100- 5 1 	-98.6 	0.4
364	103.2237	+00.6747	M2-51	103+ 0 1 	-11.0	40.0
365	103.7930	+00.4530	M2-52	103+ 0 2 	-92.0	40.0
366	104.1186	+07.9132	NGC7139	104+ 7 1 	-54.2 	2.5
367	104.2067	-29.6391	Jn1	104-29 1 	-67.0	30.0
368	104.4068	-01.6107	M2-53	104- 1 1 	-62.0	40.0
369	106.5592	-17.6009	NGC7662	106-17 1 	-13.2 	0.7
370	107.6018	-13.3222	Vy2-3	107-13 1 	-49.5 	3.8
371	107.7280	+07.8084	IsWe2 	  	-8.0 	2.0
372	107.7845	-02.2914	M1-80	107- 2 1 	-58.2	10.2
373	107.8437	+02.3145	NGC7354	107+ 2 1 	-41.8 	1.0
374	108.3710	-76.1856	BoBn1	108-76 1 	196.0	10.0
375	110.1222	+01.9259	PM1-339 	  	-80.0	30.0
376	111.3869	+06.9407	KjPn6	111+ 6 1 	-68.3 	3.0
377	111.8780	-02.8498	Hb12	111- 2 1 	-5.0 	2.3
378	112.5389	-00.1395	KjPn8	112- 0 1 	-40.6	10.0
379	112.5667	+03.7986	K3-88	112+ 3 1 	-54.7 	4.0
380	114.0665	-04.6705	A82	114- 4 1 	-30.5 	3.3
381	116.2933	+08.5314	M2-55	116+ 8 1 	-22.4 	2.9
382	118.0617	-08.6894	Vy1-1	118- 8 1 	-50.4 	3.8
383	118.8702	-74.7100	NGC246	118-74 1 	-46.0 	4.5
384	119.3694	+00.3295	BV5-1	119+ 0 1 	-71.9 	4.3
385	119.6696	-06.7596	Hu1-1	119- 6 1 	-53.7 	3.0
386	120.0162	+09.8681	NGC40	120+ 9 1 	-20.4 	0.9
387	120.2764	-05.3851	Sh2-176	120- 5 1 	-37.0	30.0
388	121.6689	+00.0134	BV5-2	121+ 0 1 	-39.0	40.0
